epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.201,1.82682,7.16425,1.54979,0.21442,0.11868,0.10885,0.03305,1.94116,13.8151,1.46741,0.000475706,0.000475706,0.000475706
2,326.152,1.90443,5.02386,1.60746,0.90111,0.10753,0.14808,0.04253,2.11382,8.64696,1.8627,0.000857787,0.000857787,0.000857787
3,484.375,1.92694,3.26755,1.61579,0.48754,0.33556,0.21033,0.06249,2.06308,4.17279,1.58729,0.00114555,0.00114555,0.00114555
4,657.876,1.79706,2.57214,1.53619,0.29729,0.37617,0.28535,0.08963,2.02114,3.28782,1.57497,0.00100459,0.00100459,0.00100459
5,830.531,1.7512,2.22415,1.46834,0.27808,0.34871,0.2807,0.08471,1.89653,2.48194,1.51347,0.000863116,0.000863116,0.000863116
6,1005.34,1.64609,1.9839,1.39311,0.38582,0.38115,0.34025,0.10988,1.73362,2.46528,1.35089,0.000721645,0.000721645,0.000721645
7,1179.78,1.64818,1.90571,1.4139,0.36561,0.34065,0.32701,0.12278,1.72105,2.18127,1.32951,0.000580174,0.000580174,0.000580174
8,1354.31,1.56912,1.77538,1.3807,0.63555,0.38614,0.3761,0.1419,1.65944,2.09925,1.33652,0.000438703,0.000438703,0.000438703
9,1542.7,1.44926,1.66735,1.24614,0.63834,0.42284,0.45506,0.16358,1.63357,1.96253,1.28683,0.000297232,0.000297232,0.000297232
10,1714.16,1.39968,1.58888,1.238,0.47031,0.51097,0.44043,0.18521,1.55177,1.91957,1.23762,0.000155761,0.000155761,0.000155761
